siret,siren,nom,adresse,code_postal,ville,naf,tva_intra,email,telephone
65201405100708,652014051,CARREFOUR,"6 AVENUE RAYMOND POINCARE, 75016 PARIS",75016,PARIS,,FR 14 652014051,christelleperrier@berger.fr,+33 (0)1 82 09 12 94
40422352100018,404223521,CARREFOUR,"None QUARTIER PEROU, 97230 SAINTE-MARIE",97230,SAINTE-MARIE,,FR 49 404223521,margaux79@hoareau.net,0385897011
50393256800010,503932568,CARREFOUR,"1 AVENUE DES ECOLES, 06110 LE CANNET",06110,LE CANNET,,FR 45 503932568,kgerard@guillot.fr,0253755919
65201405100716,652014051,CARREFOUR,"26 QUAI CHARLES PASQUA, 92300 LEVALLOIS-PERRET",92300,LEVALLOIS-PERRET,,FR 14 652014051,caronalexandrie@aubert.com,04 77 30 81 14
65201405100732,652014051,CARREFOUR,"93 AVENUE DE PARIS, 91300 MASSY",91300,MASSY,,FR 14 652014051,scarpentier@alexandre.net,01 76 26 45 48
65201405100377,652014051,CARREFOUR,"39 AVENUE D'IENA, 75016 PARIS",75016,PARIS,,FR 14 652014051,cohenalfred@perrier.fr,+33 4 20 90 75 73
65201405100559,652014051,CARREFOUR,"5 AVENUE DU GENERAL DE GAULLE, 91090 LISSES",91090,LISSES,,FR 14 652014051,caubert@delannoy.org,0188768417
65201405100690,652014051,CARREFOUR,"6 PLACE DE LA REPUBLIQUE DOMINICAINE, 75017 PARIS",75017,PARIS,,FR 14 652014051,vdias@clement.com,+33 (0)1 42 06 96 81
65201405100724,652014051,CARREFOUR,"33 AVENUE EMILE ZOLA, 92100 BOULOGNE-BILLANCOURT",92100,BOULOGNE-BILLANCOURT,,FR 14 652014051,huetmanon@goncalves.com,+33 (0)3 44 09 67 70
51076150500013,510761505,CARREFOUR,"15 AVENUE DES ECOLES, 06110 LE CANNET",06110,LE CANNET,,FR 68 510761505,isabelle36@alves.com,+33 (0)3 73 48 70 35
34497020700017,344970207,LECLERC,"59 AVENUE ARISTIDE BRIAND, 93190 LIVRY-GARGAN",93190,LIVRY-GARGAN,,FR 76 344970207,virginie36@bourgeois.fr,03 81 28 54 85
